"BRBRAPACNOR5","BRADESPAR,S.A.","Servicios Financieros - Cartera y Holding","Latibex","FTSE Latibex All Share",
"BRBRKMACNPA4","BRASKEM,S.A.","Petróleo y Energía - Petróleo","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"ES0140609019","CAIXABANK, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0114400007","CAJA DE AHORROS DEL MEDITERRANEO","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo"," ",
"ES0105229001","CASH, S.A.","Servicios de Consumo - Otros Servicios","Mercado Continuo","IBEX TOP Dividendo®",
"ES0105066007","CELLNEX TELECOM, S.A.","Tecnología y Telecomunicaciones - Telecomunicaciones y Otros","Mercado Continuo","IBEX 35®",
"ES0117360117","CEMENTOS MOLINS, S.A.","Mat.Basicos, Industria y Construcción - Materiales de Construcción","Parqué"," ",
"BRELETACNPB7","CENTRAIS ELE. BRASILEIRA S.A. ELETROBRAS","Petróleo y Energía - Electricidad y Gas","Latibex","FTSE Latibex All Share",
"ES0105027009","CIA. DE DIST. INTEG. LOGISTA HOLDINGS","Servicios de Consumo - Transporte y Distribución","Mercado Continuo","IBEX TOP Dividendo®",
"ES0132955008","CIA. ESPAÑOLA VIVIENDAS EN ALQUILER,S.A","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0158300410","CIA.LEVANTINA, EDIFICACION DE O.PUBLICAS","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo"," ",
"ES0105630315","CIE AUTOMOTIVE, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo","IBEX 35®",
"ES0119037010","CLINICA BAVIERA, S.A.","Servicios de Consumo - Otros Servicios","Mercado Continuo"," ",
"GB00BDCPN049","COCA-COLA EUROPEAN PARTNERS PLC","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"ES0119256032","CODERE, S.A.","Servicios de Consumo - Ocio, Turismo y Hostelería","Mercado Continuo"," ",
"BRCMIGACNPR3","COM.ENERGETICA DE MINAS GERAIS-CEMIG","Petróleo y Energía - Electricidad y Gas","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"BRCPLEACNPB9","COMPANHIA PARANAENSE DE ENERGIA-COPEL B","Petróleo y Energía - Electricidad y Gas","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"ES0121975009","CONSTRUCC. Y AUX. DE FERROCARRILES, S.A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo"," ",
"ES0182170003","CORP. EMPRESARIAL DE MAT. CONSTRUCC. S.A","Mat.Basicos, Industria y Construcción - Materiales de Construcción","Mercado Continuo"," ",
"ES0117160111","CORPORACION FINANCIERA ALBA, S.A.","Servicios Financieros - Cartera y Holding","Mercado Continuo"," ",
"MXP3142C1177","CORPORACION GEO, S.A.B. DE C.V.","Mat.Basicos, Industria y Construcción - Construcción","Latibex"," ",
"ES0110047919","DEOLEO, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"ES0126251018","DESARROLLOS ESPE.DE SISTEMAS DE ANCLAJES","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo"," ",
"ES0126775032","DIA-DISTRIBUIDORA INT. DE ALIMENT. S.A.","Servicios de Consumo - Comercio","Mercado Continuo"," ",
"ES0162600003","DURO FELGUERA, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"ES0112501012","EBRO FOODS, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"ES0127232017","ECOLUMBER, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Parqué"," ",
"LU1048328220","EDREAMS ODIGEO, S.A.","Servicios de Consumo - Ocio, Turismo y Hostelería","Mercado Continuo"," ",
"ES0129743318","ELECNOR S. A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo"," ",
"ES0130960018","ENAGAS, S.A.","Petróleo y Energía - Electricidad y Gas","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0130625512","ENCE ENERGIA Y CELULOSA, S.A.","Bienes de Consumo - Papel y Artes Gráficas","Mercado Continuo"," ",
